id,channel,category,title,content,view_cnt,like_cnt,comment_cnt,created_at,own_company,url
16,mam2bebe,의류,"햄키즈 여아 간절기 크롭 후드티 7,410원","배송비 포함해도 만원에 3개이상무배에요
​그레이 바지가 거의품절이라..
후드2개 바지1개 하면 딱 무배에요 :)
바지는 크게나왔어요",5003,111,39,2025-10-16 10:30:00,0,
17,mam2bebe,의류,"K2 패딩 구스 롱다운 남녀공용 씬에어 리바이브 155,420원 무배","남편이 운전을 많이해서 두꺼운거보다 얇은게 좋다고하길래 이거 사줬었거등여 ㅋㅋㅋ
만족했길래 이번에 제껏도 하나 장만했습니다~
저렴해용 ㅋㅋㅋ",5655,77,15,2025-10-16 10:48:00,0,
18,mam2bebe,의류,"탑텐키즈 카카오 온에어 12,760원 (2벌이상무배)","오프라인 매장보다 저렴해여!! 
그림 여러가지 잇어요~ 
매년 이런내복 나오는거 같네요ㅋㅋ
요거 얇은데 신축성좋고 부드러워서
겨울에 바지속에 입히기도 괜찮고 가성비 좋아요!ㅋㅋ",6438,134,42,2025-10-16 11:07:00,0,
19,mam2bebe,뷰티,프라다 립밤 임직원 50% 할인 1개 28210원,"인당 5개까지 가능해요
색상은 두가지만 가능요
7만이상 삼카 청구할인 됩니다 5%
선물하기로 구입하시면 쇼핑백 같이 온데요",11000,89,109,2025-10-16 11:14:00,0,
20,mam2bebe,의류,에잇세컨즈 아웃포켓기모데님 부츠컷 블랙 64 67 76사이즈만 19200원,"에잇세컨즈 아웃포켓 네이비랑  아이보리 
진짜 잘입고다니는데 
요새 네이비 최애제 바진데
기모버전으로 겨울준비할려고요
가격 괜찮은듯????
핏 비슷할듯 해요!",9834,129,67,2025-10-16 13:51:00,0,
21,mam2bebe,의류,"디스커버리키즈 다운경량패딩 47,080원","경량 패딩이고 초겨울까지 입히다가
한겨울되면 이너로 입혀도 좋을듯해요
세미오버핏이고 쿠폰받음 47,080원나와요",8413,131,22,2025-10-16 19:19:00,0,
22,mam2bebe,의류,"탑텐밸런스 수퍼스트레치팬츠 10,960원/더블니트팬츠 16,910원","11번 스트레치는
워낙 유명한거고 
13번이 기모버전이에요 얇은 기모요

그리고 더블니트 팬츠는 제 최애 팬츠인데요
요즘 입기 딱 좋아요
첨엔 이름만 보고
니트소재인 줄 알고 안 샀었어요 ㅋㅋㅋ
빨아도 그대로고 무릎도 많이 안나와요
더블니트도 16,910원으로 사놓을만 해요",14000,348,46,2025-10-16 20:58:00,0,
23,mam2bebe,의류,"감탄브라 FW신상 몰드부착2개 16,900원 초핫딜","감탄브라 신상 브라2장이용
사이즈 없어서 못 샀는데 신상나와서 그런지 다 있어서 얼른 샀어여^^
진짜 .. 계절마다 사서ㅋㅋㅋㅋ일년에 네번 사는거 같아요ㅋㅋㅋ",5504,176,58,2025-10-17 0:10:00,0,
24,mam2bebe,뷰티,"프라다 모노크롬 립스틱 27,170원","색상은 3가지밖에 없네요ㅠ
1개만 사도 무배고요
아마 3개이상사면 삼성카드 추가할인 붙지 싶어요",5077,63,34,2025-10-17 0:41:00,0,
25,mam2bebe,의류,"72 시간 할인 핫딜 59,900원 점퍼","마르디 할인 중인데 넘 저렴한거 같아요!!
한 계절만 입어도 득템일거 같은!!!
구경가보세요 빠르게 품절 중....",7633,23,17,2025-10-17 12:48:00,0,
